,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,11,300,10,0,0.9981782511210763,0.9962934470942025,0.9944157475917912,0.9981782511210763
1,MI,11,300,10,1,0.9910273665320771,0.9940375745303184,0.9970661250282103,0.9910273665320771
2,Correlation,11,200,10,0,0.9908912556053812,0.9911343168518063,0.9913774973711882,0.9908912556053812
3,Correlation,11,200,10,1,0.9862045760430687,0.9858175906721228,0.9854309088871456,0.9862045760430687
4,RF Feature Importance,11,200,10,0,0.9940442825112108,0.9937309564669212,0.9934178278832014,0.9940442825112108
5,RF Feature Importance,11,200,10,1,0.9894571556751907,0.9899567973966223,0.9904569439766476,0.9894571556751907
6,SHAP,11,400,10,0,0.9961463004484304,0.9943696450428395,0.9925993157857991,0.9961463004484304
7,SHAP,11,400,10,1,0.9881112606550022,0.9909453911478544,0.9937958262831359,0.9881112606550022
