,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,28,200,10,0,0.9981081838565022,0.9957360548021809,0.9933751743375174,0.9981081838565022
1,MI,28,200,10,1,0.9893449977568416,0.993132177437514,0.9969484629294756,0.9893449977568416
2,Correlation,28,400,10,0,0.9976177130044843,0.9949685534591195,0.9923334262614999,0.9976177130044843
3,Correlation,28,400,10,1,0.9876626289816061,0.9918900653300292,0.9961538461538462,0.9876626289816061
4,RF Feature Importance,28,400,9,0,0.9977578475336323,0.9953169777032221,0.9928880211964859,0.9977578475336323
5,RF Feature Importance,28,400,9,1,0.9885598923283984,0.9924558045265173,0.9963825457834049,0.9885598923283984
6,SHAP,28,400,10,0,0.9982483183856502,0.995910663730733,0.9935839319338866,0.9982483183856502
7,SHAP,28,400,10,1,0.9896814715118888,0.993414016324233,0.9971748220137868,0.9896814715118888
