,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,21,300,10,0,0.9976177130044843,0.9958036088963492,0.9939960904775202,0.9976177130044843
1,MI,21,300,10,1,0.990354419021983,0.9932508436445444,0.9961642599277978,0.990354419021983
2,Correlation,21,400,10,0,0.9932735426008968,0.991606043648573,0.9899441340782122,0.9932735426008968
3,Correlation,21,400,10,1,0.9838492597577388,0.9865047233468286,0.9891745602165088,0.9838492597577388
4,RF Feature Importance,21,400,10,0,0.9978979820627802,0.995909233942869,0.9939283969572196,0.9978979820627802
5,RF Feature Importance,21,400,10,1,0.9902422611036339,0.9934177215189873,0.9966136132746359,0.9902422611036339
6,SHAP,21,200,10,0,0.9981782511210763,0.9955971766021385,0.9930294158650494,0.9981782511210763
7,SHAP,21,200,10,1,0.9887842081650965,0.9929046063745918,0.9970594888034381,0.9887842081650965
