,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,32,300,10,0,0.9991591928251121,0.9956014801368428,0.992069013496591,0.9991591928251121
1,MI,32,300,10,1,0.9926289926289926,0.9908031882280809,0.988984088127295,0.9926289926289926
2,MI,32,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
3,MI,32,300,10,3,0.8928571428571429,0.9433962264150945,1.0,0.8928571428571429
4,MI,32,300,10,4,0.8969465648854962,0.9437751004016064,0.9957627118644068,0.8969465648854962
5,Correlation,32,400,10,0,0.999229260089686,0.9953933133244922,0.9915867056042275,0.999229260089686
6,Correlation,32,400,10,1,0.9901719901719902,0.9889570552147239,0.9877450980392157,0.9901719901719902
7,Correlation,32,400,10,2,0.998740906547286,0.9993001119820829,0.999859943977591,0.998740906547286
8,Correlation,32,400,10,3,0.875,0.930379746835443,0.9932432432432432,0.875
9,Correlation,32,400,10,4,0.8918575063613231,0.9422043010752688,0.9985754985754985,0.8918575063613231
10,RF Feature Importance,32,200,10,0,0.9993693946188341,0.9954981678590125,0.9916568170757144,0.9993693946188341
11,RF Feature Importance,32,200,10,1,0.9914004914004914,0.9920098340503996,0.992619926199262,0.9914004914004914
12,RF Feature Importance,32,200,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
13,RF Feature Importance,32,200,10,3,0.8809523809523809,0.9337539432176657,0.9932885906040269,0.8809523809523809
14,RF Feature Importance,32,200,10,4,0.8918575063613231,0.9409395973154362,0.9957386363636364,0.8918575063613231
15,SHAP,32,300,10,0,0.9990891255605381,0.9956011730205279,0.9921374895630393,0.9990891255605381
16,SHAP,32,300,10,1,0.9914004914004914,0.9901840490797547,0.9889705882352942,0.9914004914004914
17,SHAP,32,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
18,SHAP,32,300,10,3,0.8988095238095238,0.9467084639498433,1.0,0.8988095238095238
19,SHAP,32,300,10,4,0.8982188295165394,0.9438502673796791,0.9943661971830986,0.8982188295165394
20,MI,28,300,10,0,0.999229260089686,0.9958103484393547,0.9924147529575504,0.999229260089686
21,MI,28,300,10,1,0.9926289926289926,0.9920196439533456,0.9914110429447853,0.9926289926289926
22,MI,28,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
23,MI,28,300,10,3,0.875,0.930379746835443,0.9932432432432432,0.875
24,MI,28,300,10,4,0.9045801526717557,0.9467376830892145,0.9930167597765364,0.9045801526717557
25,Correlation,28,400,10,0,0.9986687219730942,0.9947654941373534,0.990892658509455,0.9986687219730942
26,Correlation,28,400,10,1,0.9877149877149877,0.9871086556169428,0.9865030674846625,0.9877149877149877
