,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
27,Correlation,28,400,10,2,0.998740906547286,0.9993001119820829,0.999859943977591,0.998740906547286
28,Correlation,28,400,10,3,0.8571428571428571,0.8944099378881988,0.935064935064935,0.8571428571428571
29,Correlation,28,400,10,4,0.8829516539440203,0.937204591492235,0.9985611510791367,0.8829516539440203
30,RF Feature Importance,28,300,10,0,0.9990891255605381,0.9957402234636872,0.9924136971046771,0.9990891255605381
31,RF Feature Importance,28,300,10,1,0.9914004914004914,0.9907918968692448,0.9901840490797545,0.9914004914004914
32,RF Feature Importance,28,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
33,RF Feature Importance,28,300,10,3,0.8869047619047619,0.9371069182389937,0.9933333333333333,0.8869047619047619
34,RF Feature Importance,28,300,10,4,0.9033078880407125,0.9454061251664447,0.9916201117318436,0.9033078880407125
35,SHAP,28,300,10,0,0.9990891255605381,0.9956706933873333,0.9922755741127348,0.9990891255605381
36,SHAP,28,300,10,1,0.9914004914004914,0.9901840490797547,0.9889705882352942,0.9914004914004914
37,SHAP,28,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
38,SHAP,28,300,10,3,0.875,0.930379746835443,0.9932432432432432,0.875
39,SHAP,28,300,10,4,0.9033078880407125,0.9460359760159893,0.993006993006993,0.9033078880407125
40,MI,21,400,10,0,0.9991591928251121,0.9956362366905218,0.992138036596396,0.9991591928251121
41,MI,21,400,10,1,0.9889434889434889,0.9907692307692307,0.9926017262638718,0.9889434889434889
42,MI,21,400,10,2,0.998740906547286,0.9993700566948975,1.0,0.998740906547286
43,MI,21,400,10,3,0.8273809523809523,0.9055374592833876,1.0,0.8273809523809523
44,MI,21,400,10,4,0.910941475826972,0.9470899470899471,0.9862258953168044,0.910941475826972
45,Correlation,21,200,10,0,0.9958660313901345,0.9920083755016575,0.988180490857262,0.9958660313901345
46,Correlation,21,200,10,1,0.9877149877149877,0.9877149877149877,0.9877149877149877,0.9877149877149877
47,Correlation,21,200,10,2,0.9979015109121433,0.9981808004478029,0.9984602463605823,0.9979015109121433
48,Correlation,21,200,10,3,0.7797619047619048,0.7915407854984894,0.803680981595092,0.7797619047619048
49,Correlation,21,200,10,4,0.8524173027989822,0.9115646258503401,0.97953216374269,0.8524173027989822
50,RF Feature Importance,21,300,10,0,0.9990891255605381,0.9959140911471975,0.9927591728747476,0.9990891255605381
51,RF Feature Importance,21,300,10,1,0.9914004914004914,0.9914004914004914,0.9914004914004914,0.9914004914004914
52,RF Feature Importance,21,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
53,RF Feature Importance,21,300,10,3,0.8571428571428571,0.9201277955271565,0.993103448275862,0.8571428571428571
54,RF Feature Importance,21,300,10,4,0.916030534351145,0.9517514871116985,0.9903713892709766,0.916030534351145
55,SHAP,21,400,10,0,0.9990190582959642,0.9957399259724842,0.9924822497563692,0.9990190582959642
56,SHAP,21,400,10,1,0.9901719901719902,0.9883507050889024,0.9865361077111383,0.9901719901719902
57,SHAP,21,400,10,2,0.998740906547286,0.9993700566948975,1.0,0.998740906547286
58,SHAP,21,400,10,3,0.8809523809523809,0.9337539432176657,0.9932885906040269,0.8809523809523809
59,SHAP,21,400,10,4,0.905852417302799,0.9474384564204924,0.99302649930265,0.905852417302799
60,MI,11,300,9,0,0.9988789237668162,0.9955307262569834,0.9922048997772829,0.9988789237668162
61,MI,11,300,9,1,0.9828009828009828,0.9852216748768472,0.9876543209876543,0.9828009828009828
62,MI,11,300,9,2,0.9973419138220482,0.9983195630864025,0.9992991309223437,0.9973419138220482
63,MI,11,300,9,3,0.8392857142857143,0.9126213592233009,1.0,0.8392857142857143
64,MI,11,300,9,4,0.9198473282442748,0.9506903353057199,0.9836734693877551,0.9198473282442748
65,Correlation,11,400,10,0,0.9953755605381166,0.9919352023181929,0.9885185442905852,0.9953755605381166
66,Correlation,11,400,10,1,0.9864864864864865,0.9822629969418961,0.9780755176613886,0.9864864864864865
67,Correlation,11,400,10,2,0.9955232232792389,0.9967782602605407,0.9980364656381486,0.9955232232792389
68,Correlation,11,400,10,3,0.7797619047619048,0.7915407854984894,0.803680981595092,0.7797619047619048
69,Correlation,11,400,10,4,0.861323155216285,0.9093351242444594,0.9630156472261735,0.861323155216285
70,RF Feature Importance,11,400,10,0,0.9987387892376681,0.9960518500401802,0.9933793295700049,0.9987387892376681
71,RF Feature Importance,11,400,10,1,0.984029484029484,0.985239852398524,0.9864532019704434,0.984029484029484
72,RF Feature Importance,11,400,10,2,0.9984611080022384,0.9989502414444678,0.9994398543621341,0.9984611080022384
73,RF Feature Importance,11,400,10,3,0.8630952380952381,0.9235668789808917,0.9931506849315068,0.8630952380952381
74,RF Feature Importance,11,400,10,4,0.9249363867684478,0.9528178243774573,0.9824324324324324,0.9249363867684478
75,SHAP,11,400,10,0,0.9983884529147982,0.9949376811088224,0.9915106812330388,0.9983884529147982
76,SHAP,11,400,10,1,0.9742014742014742,0.976,0.9778051787916153,0.9742014742014742
77,SHAP,11,400,10,2,0.9988808058198098,0.9991603694374475,0.9994400895856663,0.9988808058198098
78,SHAP,11,400,10,3,0.8154761904761905,0.8867313915857604,0.9716312056737588,0.8154761904761905
79,SHAP,11,400,10,4,0.910941475826972,0.9502322495023225,0.9930651872399445,0.910941475826972
