,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,28,400,10,0,0.999229260089686,0.9957060569034736,0.992207611493773,0.999229260089686
1,MI,28,400,10,1,0.9926289926289926,0.9926289926289926,0.9926289926289926,0.9926289926289926
2,MI,28,400,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
3,MI,28,400,10,3,0.8690476190476191,0.9269841269841269,0.9931972789115646,0.8690476190476191
4,MI,28,400,10,4,0.9020356234096693,0.9447035309793471,0.9916083916083916,0.9020356234096693
5,Correlation,28,400,10,0,0.9986687219730942,0.9947654941373534,0.990892658509455,0.9986687219730942
6,Correlation,28,400,10,1,0.9877149877149877,0.9871086556169428,0.9865030674846625,0.9877149877149877
7,Correlation,28,400,10,2,0.998740906547286,0.9993001119820829,0.999859943977591,0.998740906547286
8,Correlation,28,400,10,3,0.8571428571428571,0.8944099378881988,0.935064935064935,0.8571428571428571
9,Correlation,28,400,10,4,0.8829516539440203,0.937204591492235,0.9985611510791367,0.8829516539440203
10,RF Feature Importance,28,300,9,0,0.9990891255605381,0.9952537167585678,0.991447642886942,0.9990891255605381
11,RF Feature Importance,28,300,9,1,0.9914004914004914,0.9877600979192166,0.9841463414634146,0.9914004914004914
12,RF Feature Importance,28,300,9,2,0.9986010072747622,0.99930001399972,1.0,0.9986010072747622
13,RF Feature Importance,28,300,9,3,0.8452380952380952,0.9161290322580644,1.0,0.8452380952380952
14,RF Feature Importance,28,300,9,4,0.8956743002544529,0.9436997319034853,0.9971671388101983,0.8956743002544529
15,SHAP,28,400,10,0,0.9991591928251121,0.9956362366905218,0.992138036596396,0.9991591928251121
16,SHAP,28,400,10,1,0.9914004914004914,0.9907918968692448,0.9901840490797545,0.9914004914004914
17,SHAP,28,400,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
18,SHAP,28,400,10,3,0.8690476190476191,0.9269841269841269,0.9931972789115646,0.8690476190476191
19,SHAP,28,400,10,4,0.9033078880407125,0.9466666666666668,0.9943977591036415,0.9033078880407125
