,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,32,400,10,0,0.9980381165919282,0.9957009541784628,0.9933747123230351,0.9980381165919282
1,MI,32,400,10,1,0.9893449977568416,0.9930762735716295,0.9968358006554413,0.9893449977568416
2,Correlation,32,300,10,0,0.9976877802690582,0.9946214026264318,0.9915738161559888,0.9976877802690582
3,Correlation,32,300,10,1,0.9864288918797667,0.9913210099188459,0.99626189397372,0.9864288918797667
4,RF Feature Importance,32,300,10,0,0.9981782511210763,0.995736352834277,0.9933063728908103,0.9981782511210763
5,RF Feature Importance,32,300,10,1,0.9892328398384926,0.9931314041211575,0.9970608184490165,0.9892328398384926
6,SHAP,32,300,10,0,0.9984585201793722,0.9959463237349735,0.993446737311768,0.9984585201793722
7,SHAP,32,300,10,1,0.9894571556751907,0.9934684684684684,0.9975124378109452,0.9894571556751907
