,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,32,300,10,0,0.9975259772389906,0.9959244164505372,0.994327990135635,0.9975259772389906
1,MI,32,300,10,1,0.9934584755403868,0.9952984755663199,0.9971453040251214,0.9934584755403868
2,Correlation,32,200,10,0,0.9975259772389906,0.9938378111905349,0.9901768172888016,0.9975259772389906
3,Correlation,32,200,10,1,0.9886234357224118,0.9928591830905455,0.9971313826735514,0.9886234357224118
4,RF Feature Importance,32,300,10,0,0.9977733795150915,0.9959254228917152,0.9940842987429135,0.9977733795150915
5,RF Feature Importance,32,300,10,1,0.9931740614334471,0.9952971355280034,0.9974293059125964,0.9931740614334471
6,SHAP,32,200,10,0,0.9975259772389906,0.9959244164505372,0.994327990135635,0.9975259772389906
7,SHAP,32,200,10,1,0.9934584755403868,0.9952984755663199,0.9971453040251214,0.9934584755403868
