,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,11,200,10,0,0.9903513112320633,0.9934235016751458,0.9965148120487927,0.9903513112320633
1,MI,11,200,10,1,0.9960182025028441,0.9924897265126824,0.9889861621011014,0.9960182025028441
2,Correlation,11,200,10,0,0.9893617021276596,0.9741778319123021,0.9594529750479847,0.9893617021276596
3,Correlation,11,200,10,1,0.95193401592719,0.9693020561830292,0.987315634218289,0.95193401592719
4,RF Feature Importance,11,300,9,0,0.9903513112320633,0.9899839248176084,0.9896168108776267,0.9903513112320633
5,RF Feature Importance,11,300,9,1,0.9880546075085325,0.9884763124199745,0.9888983774551665,0.9880546075085325
6,SHAP,11,400,10,0,0.9920831271647699,0.991102323282254,0.9901234567901235,0.9920831271647699
7,SHAP,11,400,10,1,0.9886234357224118,0.9897494305239181,0.9908779931584949,0.9886234357224118
